Área;Año;Grupo de edad;Sexo;Casos
Suba;2015;15 a 17;Mujer;0
Suba;2015;18 a 19;Mujer;1
Suba;2015;20 a 24;Mujer;1
Suba;2015;25 a 29;Mujer;3
Suba;2015;30 a 34;Mujer;1
Suba;2015;35 a 39;Mujer;1
Suba;2015;40 a 44;Mujer;4
Suba;2015;45 a 49;Mujer;0
Suba;2015;50 a 54;Mujer;0
Suba;2015;55 a 59;Mujer;0
Suba;2015;60 a 64;Mujer;0
Suba;2015;65 a 69;Mujer;0
Suba;2015;70 a 74;Mujer;1
Suba;2015;75 a 79;Mujer;0
Suba;2015;80 y más;Mujer;2
Suba;2015;Todos los grupos;Mujer;15
Teusaquillo;2015;05 a 09;Hombre;0
Teusaquillo;2015;10 a 14;Hombre;1
Teusaquillo;2015;15 a 17;Hombre;0
Teusaquillo;2015;18 a 19;Hombre;0
Teusaquillo;2015;20 a 24;Hombre;1
Teusaquillo;2015;25 a 29;Hombre;0
Teusaquillo;2015;30 a 34;Hombre;0
Teusaquillo;2015;35 a 39;Hombre;1
Teusaquillo;2015;40 a 44;Hombre;0
Teusaquillo;2015;45 a 49;Hombre;0
Teusaquillo;2015;50 a 54;Hombre;1
Teusaquillo;2015;55 a 59;Hombre;0
Teusaquillo;2015;60 a 64;Hombre;0
Teusaquillo;2015;65 a 69;Hombre;0
Teusaquillo;2015;70 a 74;Hombre;0
Teusaquillo;2015;75 a 79;Hombre;1
Teusaquillo;2015;80 y más;Hombre;0
Teusaquillo;2015;Todos los grupos;Hombre;5
Teusaquillo;2015;05 a 09;Mujer;0
Teusaquillo;2015;10 a 14;Mujer;1
Teusaquillo;2015;15 a 17;Mujer;0
Teusaquillo;2015;18 a 19;Mujer;0
Teusaquillo;2015;20 a 24;Mujer;1
Teusaquillo;2015;25 a 29;Mujer;0
Teusaquillo;2015;30 a 34;Mujer;0
Teusaquillo;2015;35 a 39;Mujer;0
Teusaquillo;2015;40 a 44;Mujer;0
Teusaquillo;2015;45 a 49;Mujer;0
Teusaquillo;2015;50 a 54;Mujer;0
Teusaquillo;2015;55 a 59;Mujer;0
Teusaquillo;2015;60 a 64;Mujer;0
Teusaquillo;2015;65 a 69;Mujer;0
Teusaquillo;2015;70 a 74;Mujer;0
Teusaquillo;2015;75 a 79;Mujer;0
Teusaquillo;2015;80 y más;Mujer;0
Teusaquillo;2015;Todos los grupos;Mujer;2
Barrios Unidos;2015;05 a 09;Hombre;0
Barrios Unidos;2015;10 a 14;Hombre;0
Barrios Unidos;2015;15 a 17;Hombre;0
Barrios Unidos;2015;18 a 19;Hombre;1
Barrios Unidos;2015;20 a 24;Hombre;0
Barrios Unidos;2015;25 a 29;Hombre;0
Barrios Unidos;2015;30 a 34;Hombre;0
Barrios Unidos;2015;35 a 39;Hombre;0
Barrios Unidos;2015;40 a 44;Hombre;1
Barrios Unidos;2015;45 a 49;Hombre;1
Barrios Unidos;2015;50 a 54;Hombre;0
Barrios Unidos;2015;55 a 59;Hombre;0
Barrios Unidos;2015;60 a 64;Hombre;0
Barrios Unidos;2015;65 a 69;Hombre;2
Barrios Unidos;2015;70 a 74;Hombre;0
Barrios Unidos;2015;75 a 79;Hombre;0
Barrios Unidos;2015;80 y más;Hombre;0
Barrios Unidos;2015;Todos los grupos;Hombre;5
Barrios Unidos;2015;05 a 09;Mujer;0
Barrios Unidos;2015;10 a 14;Mujer;0
Barrios Unidos;2015;15 a 17;Mujer;0
Barrios Unidos;2015;18 a 19;Mujer;0
Barrios Unidos;2015;20 a 24;Mujer;0
Barrios Unidos;2015;25 a 29;Mujer;1
Barrios Unidos;2015;30 a 34;Mujer;0
Barrios Unidos;2015;35 a 39;Mujer;0
Barrios Unidos;2015;40 a 44;Mujer;0
Barrios Unidos;2015;45 a 49;Mujer;0
Barrios Unidos;2015;50 a 54;Mujer;0
Barrios Unidos;2015;55 a 59;Mujer;0
Barrios Unidos;2015;60 a 64;Mujer;0
Barrios Unidos;2015;65 a 69;Mujer;0
Barrios Unidos;2015;70 a 74;Mujer;0
Barrios Unidos;2015;75 a 79;Mujer;0
Barrios Unidos;2015;80 y más;Mujer;0
Barrios Unidos;2015;Todos los grupos;Mujer;1
Los Mártires;2015;05 a 09;Hombre;0
Los Mártires;2015;10 a 14;Hombre;0
Los Mártires;2015;15 a 17;Hombre;0
Los Mártires;2015;18 a 19;Hombre;0
Los Mártires;2015;20 a 24;Hombre;1
Los Mártires;2015;25 a 29;Hombre;0
Los Mártires;2015;30 a 34;Hombre;0
Los Mártires;2015;35 a 39;Hombre;0
Los Mártires;2015;40 a 44;Hombre;0
Los Mártires;2015;45 a 49;Hombre;0
Los Mártires;2015;50 a 54;Hombre;0
Los Mártires;2015;55 a 59;Hombre;0
Los Mártires;2015;60 a 64;Hombre;0
Los Mártires;2015;65 a 69;Hombre;1
Los Mártires;2015;70 a 74;Hombre;0
Los Mártires;2015;75 a 79;Hombre;0
Los Mártires;2015;80 y más;Hombre;0
Los Mártires;2015;Todos los grupos;Hombre;2
Los Mártires;2015;05 a 09;Mujer;0
Los Mártires;2015;10 a 14;Mujer;1
Los Mártires;2015;15 a 17;Mujer;0
Los Mártires;2015;18 a 19;Mujer;0
Los Mártires;2015;20 a 24;Mujer;0
Los Mártires;2015;25 a 29;Mujer;0
Los Mártires;2015;30 a 34;Mujer;0
Los Mártires;2015;35 a 39;Mujer;1
Los Mártires;2015;40 a 44;Mujer;0
Los Mártires;2015;45 a 49;Mujer;0
Los Mártires;2015;50 a 54;Mujer;0
Los Mártires;2015;55 a 59;Mujer;0
Los Mártires;2015;60 a 64;Mujer;0
Los Mártires;2015;65 a 69;Mujer;0
Los Mártires;2015;70 a 74;Mujer;0
Los Mártires;2015;75 a 79;Mujer;0
Los Mártires;2015;80 y más;Mujer;0
Los Mártires;2015;Todos los grupos;Mujer;2
Antonio Nariño;2015;05 a 09;Hombre;0
Antonio Nariño;2015;10 a 14;Hombre;0
Antonio Nariño;2015;15 a 17;Hombre;0
Antonio Nariño;2015;18 a 19;Hombre;1
Antonio Nariño;2015;20 a 24;Hombre;0
Antonio Nariño;2015;25 a 29;Hombre;0
Antonio Nariño;2015;30 a 34;Hombre;0
Antonio Nariño;2015;35 a 39;Hombre;0
Antonio Nariño;2015;40 a 44;Hombre;0
Antonio Nariño;2015;45 a 49;Hombre;0
Antonio Nariño;2015;50 a 54;Hombre;0
Antonio Nariño;2015;55 a 59;Hombre;0
Antonio Nariño;2015;60 a 64;Hombre;0
Antonio Nariño;2015;65 a 69;Hombre;0
Antonio Nariño;2015;70 a 74;Hombre;0
Antonio Nariño;2015;75 a 79;Hombre;0
Antonio Nariño;2015;80 y más;Hombre;2
Antonio Nariño;2015;Todos los grupos;Hombre;3
Antonio Nariño;2015;05 a 09;Mujer;0
Antonio Nariño;2015;10 a 14;Mujer;0
Antonio Nariño;2015;15 a 17;Mujer;0
Antonio Nariño;2015;18 a 19;Mujer;0
Antonio Nariño;2015;20 a 24;Mujer;0
Antonio Nariño;2015;25 a 29;Mujer;0
Antonio Nariño;2015;30 a 34;Mujer;0
Antonio Nariño;2015;35 a 39;Mujer;0
Antonio Nariño;2015;40 a 44;Mujer;0
Antonio Nariño;2015;45 a 49;Mujer;0
Antonio Nariño;2015;50 a 54;Mujer;0
Antonio Nariño;2015;55 a 59;Mujer;0
Antonio Nariño;2015;60 a 64;Mujer;0
Antonio Nariño;2015;65 a 69;Mujer;0
Antonio Nariño;2015;70 a 74;Mujer;0
Antonio Nariño;2015;75 a 79;Mujer;0
Antonio Nariño;2015;80 y más;Mujer;0
Antonio Nariño;2015;Todos los grupos;Mujer;0
Puente Aranda;2015;05 a 09;Hombre;0
Puente Aranda;2015;10 a 14;Hombre;1
Puente Aranda;2015;15 a 17;Hombre;0
Puente Aranda;2015;18 a 19;Hombre;0
Puente Aranda;2015;20 a 24;Hombre;0
Puente Aranda;2015;25 a 29;Hombre;2
Puente Aranda;2015;30 a 34;Hombre;0
Puente Aranda;2015;35 a 39;Hombre;1
Puente Aranda;2015;40 a 44;Hombre;0
Puente Aranda;2015;45 a 49;Hombre;0
Puente Aranda;2015;50 a 54;Hombre;0
Puente Aranda;2015;55 a 59;Hombre;1
Puente Aranda;2015;60 a 64;Hombre;0
Puente Aranda;2015;65 a 69;Hombre;1
Puente Aranda;2015;70 a 74;Hombre;0
Puente Aranda;2015;75 a 79;Hombre;0
Puente Aranda;2015;80 y más;Hombre;0
Puente Aranda;2015;Todos los grupos;Hombre;6
Puente Aranda;2015;05 a 09;Mujer;0
Puente Aranda;2015;10 a 14;Mujer;0
Puente Aranda;2015;15 a 17;Mujer;0
Puente Aranda;2015;18 a 19;Mujer;0
Puente Aranda;2015;20 a 24;Mujer;0
Puente Aranda;2015;25 a 29;Mujer;0
Puente Aranda;2015;30 a 34;Mujer;0
Puente Aranda;2015;35 a 39;Mujer;0
Puente Aranda;2015;40 a 44;Mujer;1
Puente Aranda;2015;45 a 49;Mujer;0
Puente Aranda;2015;50 a 54;Mujer;1
Puente Aranda;2015;55 a 59;Mujer;1
