localidad;year;grupo_de_edad;sexo;casos;grupo_etario;poblacion;tasa_por_100000
kennedy;2015;40 a 44;Hombre;2;Adulto;;
kennedy;2015;45 a 49;Hombre;4;Adulto;;
kennedy;2015;50 a 54;Hombre;2;Adulto;;
kennedy;2015;55 a 59;Hombre;0;Adulto;;
kennedy;2015;60 a 64;Hombre;0;Adulto Mayor;;
kennedy;2015;65 a 69;Hombre;0;Adulto Mayor;;
kennedy;2015;70 a 74;Hombre;1;Adulto Mayor;;
kennedy;2015;75 a 79;Hombre;0;Adulto Mayor;;
kennedy;2015;80 y más;Hombre;0;Adulto Mayor;;
kennedy;2015;Todos los grupos;Hombre;25;;521766.0;4.791419908541377
kennedy;2015;05 a 09;Mujer;0;Niño;;
kennedy;2015;10 a 14;Mujer;0;Niño;;
kennedy;2015;15 a 17;Mujer;0;Joven;;
kennedy;2015;18 a 19;Mujer;0;Joven;;
kennedy;2015;20 a 24;Mujer;1;Joven;;
kennedy;2015;25 a 29;Mujer;1;Adulto;;
kennedy;2015;30 a 34;Mujer;0;Adulto;;
kennedy;2015;35 a 39;Mujer;0;Adulto;;
kennedy;2015;40 a 44;Mujer;1;Adulto;;
kennedy;2015;45 a 49;Mujer;0;Adulto;;
kennedy;2015;50 a 54;Mujer;0;Adulto;;
kennedy;2015;55 a 59;Mujer;0;Adulto;;
kennedy;2015;60 a 64;Mujer;0;Adulto Mayor;;
kennedy;2015;65 a 69;Mujer;1;Adulto Mayor;;
kennedy;2015;70 a 74;Mujer;0;Adulto Mayor;;
kennedy;2015;75 a 79;Mujer;0;Adulto Mayor;;
kennedy;2015;80 y más;Mujer;0;Adulto Mayor;;
kennedy;2015;Todos los grupos;Mujer;4;;547703.0;0.7303228209449282
fontibon;2015;05 a 09;Hombre;0;Niño;;
fontibon;2015;10 a 14;Hombre;0;Niño;;
fontibon;2015;15 a 17;Hombre;0;Joven;;
fontibon;2015;18 a 19;Hombre;0;Joven;;
fontibon;2015;20 a 24;Hombre;1;Joven;;
fontibon;2015;25 a 29;Hombre;1;Adulto;;
fontibon;2015;30 a 34;Hombre;2;Adulto;;
fontibon;2015;35 a 39;Hombre;0;Adulto;;
fontibon;2015;40 a 44;Hombre;1;Adulto;;
fontibon;2015;45 a 49;Hombre;1;Adulto;;
fontibon;2015;50 a 54;Hombre;0;Adulto;;
fontibon;2015;55 a 59;Hombre;0;Adulto;;
fontibon;2015;60 a 64;Hombre;0;Adulto Mayor;;
fontibon;2015;65 a 69;Hombre;2;Adulto Mayor;;
fontibon;2015;70 a 74;Hombre;0;Adulto Mayor;;
fontibon;2015;75 a 79;Hombre;0;Adulto Mayor;;
fontibon;2015;80 y más;Hombre;1;Adulto Mayor;;
fontibon;2015;Todos los grupos;Hombre;9;;180174.0;4.995171334376769
fontibon;2015;05 a 09;Mujer;0;Niño;;
fontibon;2015;10 a 14;Mujer;0;Niño;;
fontibon;2015;15 a 17;Mujer;0;Joven;;
fontibon;2015;18 a 19;Mujer;1;Joven;;
fontibon;2015;20 a 24;Mujer;0;Joven;;
fontibon;2015;25 a 29;Mujer;0;Adulto;;
fontibon;2015;30 a 34;Mujer;2;Adulto;;
fontibon;2015;35 a 39;Mujer;0;Adulto;;
fontibon;2015;40 a 44;Mujer;0;Adulto;;
fontibon;2015;45 a 49;Mujer;0;Adulto;;
fontibon;2015;50 a 54;Mujer;0;Adulto;;
fontibon;2015;55 a 59;Mujer;0;Adulto;;
fontibon;2015;60 a 64;Mujer;0;Adulto Mayor;;
fontibon;2015;65 a 69;Mujer;0;Adulto Mayor;;
fontibon;2015;70 a 74;Mujer;0;Adulto Mayor;;
fontibon;2015;75 a 79;Mujer;0;Adulto Mayor;;
fontibon;2015;80 y más;Mujer;0;Adulto Mayor;;
fontibon;2015;Todos los grupos;Mujer;3;;200279.0;1.4979104149711153
engativa;2015;05 a 09;Hombre;0;Niño;;
engativa;2015;10 a 14;Hombre;1;Niño;;
engativa;2015;15 a 17;Hombre;0;Joven;;
engativa;2015;18 a 19;Hombre;1;Joven;;
engativa;2015;20 a 24;Hombre;4;Joven;;
engativa;2015;25 a 29;Hombre;0;Adulto;;
engativa;2015;30 a 34;Hombre;5;Adulto;;
engativa;2015;35 a 39;Hombre;3;Adulto;;
engativa;2015;40 a 44;Hombre;0;Adulto;;
engativa;2015;45 a 49;Hombre;3;Adulto;;
engativa;2015;50 a 54;Hombre;3;Adulto;;
engativa;2015;55 a 59;Hombre;2;Adulto;;
engativa;2015;60 a 64;Hombre;0;Adulto Mayor;;
engativa;2015;65 a 69;Hombre;1;Adulto Mayor;;
engativa;2015;70 a 74;Hombre;1;Adulto Mayor;;
engativa;2015;75 a 79;Hombre;0;Adulto Mayor;;
engativa;2015;80 y más;Hombre;1;Adulto Mayor;;
engativa;2015;Todos los grupos;Hombre;25;;418890.0;5.968153930626179
engativa;2015;05 a 09;Mujer;0;Niño;;
engativa;2015;10 a 14;Mujer;0;Niño;;
engativa;2015;15 a 17;Mujer;2;Joven;;
engativa;2015;18 a 19;Mujer;0;Joven;;
engativa;2015;20 a 24;Mujer;1;Joven;;
engativa;2015;25 a 29;Mujer;3;Adulto;;
engativa;2015;30 a 34;Mujer;2;Adulto;;
engativa;2015;35 a 39;Mujer;1;Adulto;;
engativa;2015;40 a 44;Mujer;0;Adulto;;
engativa;2015;45 a 49;Mujer;1;Adulto;;
